"id","national_number","pokemon","form","mark","shiny"
"no_mark:0090:standard:normal","90","Shellder","","NO_MARK","0"
"no_mark:0090:standard:shiny","90","Shellder","","NO_MARK","1"
"no_mark:0091:standard:normal","91","Cloyster","","NO_MARK","0"
"no_mark:0091:standard:shiny","91","Cloyster","","NO_MARK","1"
"no_mark:0092:standard:normal","92","Gastly","","NO_MARK","0"
"no_mark:0092:standard:shiny","92","Gastly","","NO_MARK","1"
"no_mark:0093:standard:normal","93","Haunter","","NO_MARK","0"
"no_mark:0093:standard:shiny","93","Haunter","","NO_MARK","1"
"no_mark:0094:standard:normal","94","Gengar","","NO_MARK","0"
"no_mark:0094:standard:shiny","94","Gengar","","NO_MARK","1"
"no_mark:0095:standard:normal","95","Onix","","NO_MARK","0"
"no_mark:0095:standard:shiny","95","Onix","","NO_MARK","1"
"no_mark:0096:standard:normal","96","Drowzee","","NO_MARK","0"
"no_mark:0096:standard:shiny","96","Drowzee","","NO_MARK","1"
"no_mark:0097:standard:normal","97","Hypno","","NO_MARK","0"
"no_mark:0097:standard:shiny","97","Hypno","","NO_MARK","1"
"no_mark:0098:standard:normal","98","Krabby","","NO_MARK","0"
"no_mark:0098:standard:shiny","98","Krabby","","NO_MARK","1"
"no_mark:0099:standard:normal","99","Kingler","","NO_MARK","0"
"no_mark:0099:standard:shiny","99","Kingler","","NO_MARK","1"
"no_mark:0100:original:normal","100","Voltorb","Original","NO_MARK","0"
"no_mark:0100:original:shiny","100","Voltorb","Original","NO_MARK","1"
"no_mark:0101:original:normal","101","Electrode","Original","NO_MARK","0"
"no_mark:0101:original:shiny","101","Electrode","Original","NO_MARK","1"
"no_mark:0102:standard:normal","102","Exeggcute","","NO_MARK","0"
"no_mark:0102:standard:shiny","102","Exeggcute","","NO_MARK","1"
"no_mark:0103:alolan:normal","103","Exeggutor","Alolan","NO_MARK","0"
"no_mark:0103:alolan:shiny","103","Exeggutor","Alolan","NO_MARK","1"
"no_mark:0103:original:normal","103","Exeggutor","Original","NO_MARK","0"
"no_mark:0103:original:shiny","103","Exeggutor","Original","NO_MARK","1"
"no_mark:0104:standard:normal","104","Cubone","","NO_MARK","0"
"no_mark:0104:standard:shiny","104","Cubone","","NO_MARK","1"
"no_mark:0105:alolan:normal","105","Marowak","Alolan","NO_MARK","0"
"no_mark:0105:alolan:shiny","105","Marowak","Alolan","NO_MARK","1"
"no_mark:0105:original:normal","105","Marowak","Original","NO_MARK","0"
"no_mark:0105:original:shiny","105","Marowak","Original","NO_MARK","1"
"no_mark:0106:standard:normal","106","Hitmonlee","","NO_MARK","0"
"no_mark:0106:standard:shiny","106","Hitmonlee","","NO_MARK","1"
"no_mark:0107:standard:normal","107","Hitmonchan","","NO_MARK","0"
"no_mark:0107:standard:shiny","107","Hitmonchan","","NO_MARK","1"
"no_mark:0108:standard:normal","108","Lickitung","","NO_MARK","0"
"no_mark:0108:standard:shiny","108","Lickitung","","NO_MARK","1"
"no_mark:0109:standard:normal","109","Koffing","","NO_MARK","0"
"no_mark:0109:standard:shiny","109","Koffing","","NO_MARK","1"
"no_mark:0110:galarian:normal","110","Weezing","Galarian","NO_MARK","0"
"no_mark:0110:galarian:shiny","110","Weezing","Galarian","NO_MARK","1"
"no_mark:0110:original:normal","110","Weezing","Original","NO_MARK","0"
"no_mark:0110:original:shiny","110","Weezing","Original","NO_MARK","1"
"no_mark:0111:standard:normal","111","Rhyhorn","","NO_MARK","0"
"no_mark:0111:standard:shiny","111","Rhyhorn","","NO_MARK","1"
"no_mark:0112:standard:normal","112","Rhydon","","NO_MARK","0"
"no_mark:0112:standard:shiny","112","Rhydon","","NO_MARK","1"
"no_mark:0113:standard:normal","113","Chansey","","NO_MARK","0"
"no_mark:0113:standard:shiny","113","Chansey","","NO_MARK","1"
"no_mark:0114:standard:normal","114","Tangela","","NO_MARK","0"
"no_mark:0114:standard:shiny","114","Tangela","","NO_MARK","1"
"no_mark:0115:standard:normal","115","Kangaskhan","","NO_MARK","0"
"no_mark:0115:standard:shiny","115","Kangaskhan","","NO_MARK","1"
"no_mark:0116:standard:normal","116","Horsea","","NO_MARK","0"
"no_mark:0116:standard:shiny","116","Horsea","","NO_MARK","1"
"no_mark:0117:standard:normal","117","Seadra","","NO_MARK","0"
"no_mark:0117:standard:shiny","117","Seadra","","NO_MARK","1"
"no_mark:0118:standard:normal","118","Goldeen","","NO_MARK","0"
"no_mark:0118:standard:shiny","118","Goldeen","","NO_MARK","1"
"no_mark:0119:standard:normal","119","Seaking","","NO_MARK","0"
"no_mark:0119:standard:shiny","119","Seaking","","NO_MARK","1"
"no_mark:0120:standard:normal","120","Staryu","","NO_MARK","0"
"no_mark:0120:standard:shiny","120","Staryu","","NO_MARK","1"
"no_mark:0121:standard:normal","121","Starmie","","NO_MARK","0"
"no_mark:0121:standard:shiny","121","Starmie","","NO_MARK","1"
"no_mark:0122:galarian:normal","122","Mr. Mime","Galarian","NO_MARK","0"
"no_mark:0122:galarian:shiny","122","Mr. Mime","Galarian","NO_MARK","1"
"no_mark:0122:original:normal","122","Mr. Mime","Original","NO_MARK","0"
"no_mark:0122:original:shiny","122","Mr. Mime","Original","NO_MARK","1"
"no_mark:0123:standard:normal","123","Scyther","","NO_MARK","0"
"no_mark:0123:standard:shiny","123","Scyther","","NO_MARK","1"
"no_mark:0124:standard:normal","124","Jynx","","NO_MARK","0"
"no_mark:0124:standard:shiny","124","Jynx","","NO_MARK","1"
"no_mark:0125:standard:normal","125","Electabuzz","","NO_MARK","0"
"no_mark:0125:standard:shiny","125","Electabuzz","","NO_MARK","1"
"no_mark:0126:standard:normal","126","Magmar","","NO_MARK","0"
"no_mark:0126:standard:shiny","126","Magmar","","NO_MARK","1"
"no_mark:0127:standard:normal","127","Pinsir","","NO_MARK","0"
"no_mark:0127:standard:shiny","127","Pinsir","","NO_MARK","1"
"no_mark:0128:standard:normal","128","Tauros","","NO_MARK","0"
"no_mark:0128:standard:shiny","128","Tauros","","NO_MARK","1"
"no_mark:0129:standard:normal","129","Magikarp","","NO_MARK","0"
"no_mark:0129:standard:shiny","129","Magikarp","","NO_MARK","1"
"no_mark:0130:standard:normal","130","Gyarados","","NO_MARK","0"
"no_mark:0130:standard:shiny","130","Gyarados","","NO_MARK","1"
"no_mark:0131:standard:normal","131","Lapras","","NO_MARK","0"
"no_mark:0131:standard:shiny","131","Lapras","","NO_MARK","1"
"no_mark:0132:standard:normal","132","Ditto","","NO_MARK","0"
"no_mark:0132:standard:shiny","132","Ditto","","NO_MARK","1"
"no_mark:0133:standard:normal","133","Eevee","","NO_MARK","0"
"no_mark:0133:standard:shiny","133","Eevee","","NO_MARK","1"
"no_mark:0134:standard:normal","134","Vaporeon","","NO_MARK","0"
"no_mark:0134:standard:shiny","134","Vaporeon","","NO_MARK","1"
"no_mark:0135:standard:normal","135","Jolteon","","NO_MARK","0"
"no_mark:0135:standard:shiny","135","Jolteon","","NO_MARK","1"
"no_mark:0136:standard:normal","136","Flareon","","NO_MARK","0"
"no_mark:0136:standard:shiny","136","Flareon","","NO_MARK","1"
"no_mark:0137:standard:normal","137","Porygon","","NO_MARK","0"
"no_mark:0137:standard:shiny","137","Porygon","","NO_MARK","1"
"no_mark:0138:standard:normal","138","Omanyte","","NO_MARK","0"
"no_mark:0138:standard:shiny","138","Omanyte","","NO_MARK","1"
"no_mark:0139:standard:normal","139","Omastar","","NO_MARK","0"
"no_mark:0139:standard:shiny","139","Omastar","","NO_MARK","1"
"no_mark:0140:standard:normal","140","Kabuto","","NO_MARK","0"
"no_mark:0140:standard:shiny","140","Kabuto","","NO_MARK","1"
"no_mark:0141:standard:normal","141","Kabutops","","NO_MARK","0"
"no_mark:0141:standard:shiny","141","Kabutops","","NO_MARK","1"
"no_mark:0142:standard:normal","142","Aerodactyl","","NO_MARK","0"
"no_mark:0142:standard:shiny","142","Aerodactyl","","NO_MARK","1"
"no_mark:0143:standard:normal","143","Snorlax","","NO_MARK","0"
"no_mark:0143:standard:shiny","143","Snorlax","","NO_MARK","1"
"no_mark:0144:original:normal","144","Articuno","Original","NO_MARK","0"
"no_mark:0144:original:shiny","144","Articuno","Original","NO_MARK","1"
"no_mark:0145:original:normal","145","Zapdos","Original","NO_MARK","0"
"no_mark:0145:original:shiny","145","Zapdos","Original","NO_MARK","1"
"no_mark:0146:original:normal","146","Moltres","Original","NO_MARK","0"
"no_mark:0146:original:shiny","146","Moltres","Original","NO_MARK","1"
"no_mark:0147:standard:normal","147","Dratini","","NO_MARK","0"
"no_mark:0147:standard:shiny","147","Dratini","","NO_MARK","1"
"no_mark:0148:standard:normal","148","Dragonair","","NO_MARK","0"
"no_mark:0148:standard:shiny","148","Dragonair","","NO_MARK","1"
"no_mark:0149:standard:normal","149","Dragonite","","NO_MARK","0"
"no_mark:0149:standard:shiny","149","Dragonite","","NO_MARK","1"
"no_mark:0150:standard:normal","150","Mewtwo","","NO_MARK","0"
"no_mark:0150:standard:shiny","150","Mewtwo","","NO_MARK","1"
"no_mark:0151:standard:normal","151","Mew","","NO_MARK","0"
"no_mark:0151:standard:shiny","151","Mew","","NO_MARK","1"
"no_mark:0152:standard:normal","152","Chikorita","","NO_MARK","0"
"no_mark:0152:standard:shiny","152","Chikorita","","NO_MARK","1"
"no_mark:0153:standard:normal","153","Bayleef","","NO_MARK","0"
"no_mark:0153:standard:shiny","153","Bayleef","","NO_MARK","1"
"no_mark:0154:standard:normal","154","Meganium","","NO_MARK","0"
"no_mark:0154:standard:shiny","154","Meganium","","NO_MARK","1"
"no_mark:0155:standard:normal","155","Cyndaquil","","NO_MARK","0"
"no_mark:0155:standard:shiny","155","Cyndaquil","","NO_MARK","1"
"no_mark:0156:standard:normal","156","Quilava","","NO_MARK","0"
"no_mark:0156:standard:shiny","156","Quilava","","NO_MARK","1"
"no_mark:0157:hisuian:normal","157","Typhlosion","Hisuian","NO_MARK","0"
"no_mark:0157:hisuian:shiny","157","Typhlosion","Hisuian","NO_MARK","1"
"no_mark:0157:original:normal","157","Typhlosion","Original","NO_MARK","0"
"no_mark:0157:original:shiny","157","Typhlosion","Original","NO_MARK","1"
"no_mark:0158:standard:normal","158","Totodile","","NO_MARK","0"
"no_mark:0158:standard:shiny","158","Totodile","","NO_MARK","1"
"no_mark:0159:standard:normal","159","Croconaw","","NO_MARK","0"
"no_mark:0159:standard:shiny","159","Croconaw","","NO_MARK","1"
"no_mark:0160:standard:normal","160","Feraligatr","","NO_MARK","0"
"no_mark:0160:standard:shiny","160","Feraligatr","","NO_MARK","1"
"no_mark:0161:standard:normal","161","Sentret","","NO_MARK","0"
"no_mark:0161:standard:shiny","161","Sentret","","NO_MARK","1"
"no_mark:0162:standard:normal","162","Furret","","NO_MARK","0"
"no_mark:0162:standard:shiny","162","Furret","","NO_MARK","1"
"no_mark:0163:standard:normal","163","Hoothoot","","NO_MARK","0"
"no_mark:0163:standard:shiny","163","Hoothoot","","NO_MARK","1"
"no_mark:0164:standard:normal","164","Noctowl","","NO_MARK","0"
"no_mark:0164:standard:shiny","164","Noctowl","","NO_MARK","1"
"no_mark:0165:standard:normal","165","Ledyba","","NO_MARK","0"
"no_mark:0165:standard:shiny","165","Ledyba","","NO_MARK","1"
"no_mark:0166:standard:normal","166","Ledian","","NO_MARK","0"
"no_mark:0166:standard:shiny","166","Ledian","","NO_MARK","1"
"no_mark:0167:standard:normal","167","Spinarak","","NO_MARK","0"
"no_mark:0167:standard:shiny","167","Spinarak","","NO_MARK","1"
"no_mark:0168:standard:normal","168","Ariados","","NO_MARK","0"
"no_mark:0168:standard:shiny","168","Ariados","","NO_MARK","1"
"no_mark:0169:standard:normal","169","Crobat","","NO_MARK","0"
"no_mark:0169:standard:shiny","169","Crobat","","NO_MARK","1"
"no_mark:0170:standard:normal","170","Chinchou","","NO_MARK","0"
"no_mark:0170:standard:shiny","170","Chinchou","","NO_MARK","1"
"no_mark:0171:standard:normal","171","Lanturn","","NO_MARK","0"
"no_mark:0171:standard:shiny","171","Lanturn","","NO_MARK","1"
"no_mark:0172:standard:normal","172","Pichu","","NO_MARK","0"
"no_mark:0172:standard:shiny","172","Pichu","","NO_MARK","1"
"no_mark:0173:standard:normal","173","Cleffa","","NO_MARK","0"
"no_mark:0173:standard:shiny","173","Cleffa","","NO_MARK","1"
"no_mark:0174:standard:normal","174","Igglybuff","","NO_MARK","0"
"no_mark:0174:standard:shiny","174","Igglybuff","","NO_MARK","1"
"no_mark:0175:standard:normal","175","Togepi","","NO_MARK","0"
"no_mark:0175:standard:shiny","175","Togepi","","NO_MARK","1"
"no_mark:0176:standard:normal","176","Togetic","","NO_MARK","0"
"no_mark:0176:standard:shiny","176","Togetic","","NO_MARK","1"
"no_mark:0177:standard:normal","177","Natu","","NO_MARK","0"
"no_mark:0177:standard:shiny","177","Natu","","NO_MARK","1"
"no_mark:0178:standard:normal","178","Xatu","","NO_MARK","0"
"no_mark:0178:standard:shiny","178","Xatu","","NO_MARK","1"
"no_mark:0179:standard:normal","179","Mareep","","NO_MARK","0"
"no_mark:0179:standard:shiny","179","Mareep","","NO_MARK","1"
"no_mark:0180:standard:normal","180","Flaaffy","","NO_MARK","0"
"no_mark:0180:standard:shiny","180","Flaaffy","","NO_MARK","1"
"no_mark:0181:standard:normal","181","Ampharos","","NO_MARK","0"
"no_mark:0181:standard:shiny","181","Ampharos","","NO_MARK","1"
"no_mark:0182:standard:normal","182","Bellossom","","NO_MARK","0"
"no_mark:0182:standard:shiny","182","Bellossom","","NO_MARK","1"
"no_mark:0183:standard:normal","183","Marill","","NO_MARK","0"
"no_mark:0183:standard:shiny","183","Marill","","NO_MARK","1"
"no_mark:0184:standard:normal","184","Azumarill","","NO_MARK","0"
"no_mark:0184:standard:shiny","184","Azumarill","","NO_MARK","1"
"no_mark:0185:standard:normal","185","Sudowoodo","","NO_MARK","0"
"no_mark:0185:standard:shiny","185","Sudowoodo","","NO_MARK","1"
"no_mark:0186:standard:normal","186","Politoed","","NO_MARK","0"
"no_mark:0186:standard:shiny","186","Politoed","","NO_MARK","1"
"no_mark:0187:standard:normal","187","Hoppip","","NO_MARK","0"
"no_mark:0187:standard:shiny","187","Hoppip","","NO_MARK","1"
"no_mark:0188:standard:normal","188","Skiploom","","NO_MARK","0"
"no_mark:0188:standard:shiny","188","Skiploom","","NO_MARK","1"
"no_mark:0189:standard:normal","189","Jumpluff","","NO_MARK","0"
"no_mark:0189:standard:shiny","189","Jumpluff","","NO_MARK","1"
"no_mark:0190:standard:normal","190","Aipom","","NO_MARK","0"
"no_mark:0190:standard:shiny","190","Aipom","","NO_MARK","1"
"no_mark:0191:standard:normal","191","Sunkern","","NO_MARK","0"
"no_mark:0191:standard:shiny","191","Sunkern","","NO_MARK","1"
"no_mark:0192:standard:normal","192","Sunflora","","NO_MARK","0"
"no_mark:0192:standard:shiny","192","Sunflora","","NO_MARK","1"
"no_mark:0193:standard:normal","193","Yanma","","NO_MARK","0"
"no_mark:0193:standard:shiny","193","Yanma","","NO_MARK","1"
"no_mark:0194:original:normal","194","Wooper","Original","NO_MARK","0"
"no_mark:0194:original:shiny","194","Wooper","Original","NO_MARK","1"
"no_mark:0195:standard:normal","195","Quagsire","","NO_MARK","0"
"no_mark:0195:standard:shiny","195","Quagsire","","NO_MARK","1"
"no_mark:0196:standard:normal","196","Espeon","","NO_MARK","0"
